,state,time,avg,var
407,adamawa,2015-12-01,7906.279688459195,117299.65785990944
408,adamawa,2016-01-01,9390.616896688261,272302.23400221503
409,adamawa,2016-02-01,11269.721677191223,347463.426744941
410,adamawa,2016-03-01,12602.09879458807,403727.03910835786
411,adamawa,2016-04-01,12736.57585981145,407417.2343504283
412,adamawa,2016-05-01,13125.90312942694,422901.5228005242
413,adamawa,2016-06-01,12375.602674826046,381381.66068829905
414,adamawa,2016-07-01,12135.204443854622,371353.73420849274
415,adamawa,2016-08-01,12169.87104477621,385768.64530383487
416,adamawa,2016-09-01,11880.152557485153,379486.57683026243
417,adamawa,2016-10-01,10166.899177920706,308930.0392870587
418,adamawa,2016-11-01,8460.237589403723,229079.55354414525
419,adamawa,2016-12-01,8218.560883914768,144894.37400713732
420,adamawa,2017-01-01,9631.547844472654,310658.95183623064
421,adamawa,2017-02-01,11385.056647941,393383.0231248754
422,adamawa,2017-03-01,12792.864594183273,456966.0232209814
423,adamawa,2017-04-01,13054.571778110267,455253.3678277745
424,adamawa,2017-05-01,13486.694379813256,480675.4284269826
425,adamawa,2017-06-01,13232.33151008867,468800.0475605608
426,adamawa,2017-07-01,12959.398132998573,460328.2922804324
427,adamawa,2017-08-01,12964.294126904822,475683.36833084025
428,adamawa,2017-09-01,12235.061280266616,432672.09684353
429,adamawa,2017-10-01,10349.155964813504,350450.7256702682
430,adamawa,2017-11-01,8809.010011868593,263420.7959668379
431,adamawa,2017-12-01,8433.451313627995,189316.17914880384
432,adamawa,2018-01-01,9290.422017880175,366458.81243107485
433,adamawa,2018-02-01,10892.516375363812,472773.2067430525
434,adamawa,2018-03-01,12229.988239685868,553928.3216231294
435,adamawa,2018-04-01,12589.940208559936,559604.1169763166
436,adamawa,2018-05-01,13066.744654922064,594180.335370936
437,adamawa,2018-06-01,13076.544587919117,606324.4340612858
438,adamawa,2018-07-01,12945.368034815152,581646.0147128884
439,adamawa,2018-08-01,12783.707968247312,588698.8665542818
440,adamawa,2018-09-01,11769.78611308083,520907.9501503147
441,adamawa,2018-10-01,9863.075074950093,416666.40879512177
442,adamawa,2018-11-01,8441.964837512345,314823.32995400834
443,adamawa,2018-12-01,8118.133973706895,203600.18709699862
444,adamawa,2019-01-01,8853.099460647489,338427.59226578136
445,adamawa,2019-02-01,10453.412147676609,444082.42171652487
446,adamawa,2019-03-01,11693.981913042431,506226.0865689887
447,adamawa,2019-04-01,12064.125325614783,516333.7557040529
448,adamawa,2019-05-01,12566.401669155483,555707.4211915628
449,adamawa,2019-06-01,12419.851595666652,549061.7764425423
450,adamawa,2019-07-01,12306.894973122246,544875.0998494122
451,adamawa,2019-08-01,12129.603587799342,535714.9242159795
452,adamawa,2019-09-01,11212.670648102798,479892.6269020882
453,adamawa,2019-10-01,9473.575925708314,386904.34719583526
454,adamawa,2019-11-01,8123.514124918528,296215.2986003935
455,adamawa,2019-12-01,7771.030152851354,183130.82216630518
456,adamawa,2020-01-01,8787.562793093497,333500.6467172359
457,adamawa,2020-02-01,10376.028876453649,437608.7669934352
458,adamawa,2020-03-01,11607.415100094711,498844.89343509957
459,adamawa,2020-04-01,11974.818459210657,508806.18853848823
460,adamawa,2020-05-01,12473.376611411342,547602.7610097006
461,adamawa,2020-06-01,12327.911401307243,541054.0664223575
462,adamawa,2020-07-01,12215.790960560254,536928.3156699545
463,adamawa,2020-08-01,12039.812006734563,527901.9550576333
464,adamawa,2020-09-01,11129.666828714626,472896.33047447953
465,adamawa,2020-10-01,9403.446069068794,381266.9014714149
466,adamawa,2020-11-01,8063.37834456935,291905.64718827454
467,adamawa,2020-12-01,7713.503698761093,180486.64027259292
468,akwa ibom,2008-01-01,7031.467118225385,157324.01928539458
469,akwa ibom,2008-02-01,7438.350512152345,169344.99859074297
470,akwa ibom,2008-03-01,8416.054944041634,198061.616062929
471,akwa ibom,2008-04-01,9704.606984931284,246653.46407388468
472,akwa ibom,2008-05-01,10457.072730679089,274024.19848496816
473,akwa ibom,2008-06-01,9914.57885370727,254685.85620529696
474,akwa ibom,2008-07-01,9880.745337182707,249549.49729777052
475,akwa ibom,2008-08-01,9537.528734193722,238141.37017443267
476,akwa ibom,2008-09-01,8294.266688962269,198771.48840051168
477,akwa ibom,2008-10-01,7891.482158143036,186999.3434748195
478,akwa ibom,2008-11-01,7263.189317693484,165027.92607614904
479,akwa ibom,2008-12-01,7248.708167395818,102864.5132839941
480,akwa ibom,2009-01-01,6805.102392843213,157321.20764069702
481,akwa ibom,2009-02-01,7147.5141250085835,174535.12178402697
482,akwa ibom,2009-03-01,7993.258688856521,201596.28395926813
483,akwa ibom,2009-04-01,9023.574410750582,236600.70496411732
484,akwa ibom,2009-05-01,9482.365226359323,254697.8459778253
485,akwa ibom,2009-06-01,9209.9529281909,245214.93884824283
486,akwa ibom,2009-07-01,9166.976087792353,241535.8212002494
487,akwa ibom,2009-08-01,8803.775203922034,227466.7390242812
488,akwa ibom,2009-09-01,8244.662226318002,209431.5077073411
489,akwa ibom,2009-10-01,7851.460134699882,196955.63151061005
490,akwa ibom,2009-11-01,7230.481605247099,171268.25237712797
491,akwa ibom,2009-12-01,7004.483547382448,89971.19734210972
492,akwa ibom,2010-01-01,6631.238963713627,153990.32199953168
493,akwa ibom,2010-02-01,6929.914552679999,167430.98145603377
494,akwa ibom,2010-03-01,7763.509511631541,196260.42096950125
495,akwa ibom,2010-04-01,8772.195920758579,226207.16197024012
496,akwa ibom,2010-05-01,9250.894227304068,247119.22036713053
497,akwa ibom,2010-06-01,8969.684567349472,235940.24089532386
498,akwa ibom,2010-07-01,8769.967833092871,231015.6490026385
499,akwa ibom,2010-08-01,8469.917177821748,214682.43308031632
500,akwa ibom,2010-09-01,8243.850539187984,208004.1678066717
501,akwa ibom,2010-10-01,8032.545298761965,202195.851415357
502,akwa ibom,2010-11-01,7307.56693570067,168226.8536555552
503,akwa ibom,2010-12-01,6970.691195451214,88363.47539024487
504,akwa ibom,2011-01-01,6484.563096746166,148885.87932093287
505,akwa ibom,2011-02-01,6826.659530357172,163524.34998673256
506,akwa ibom,2011-03-01,7566.777215224019,181551.77591587396
507,akwa ibom,2011-04-01,8599.42685699585,219494.64255431836
508,akwa ibom,2011-05-01,9130.71999080813,240772.02882043525
509,akwa ibom,2011-06-01,8926.49904233071,227124.74034903714
510,akwa ibom,2011-07-01,8799.249327948606,227538.83327285518
511,akwa ibom,2011-08-01,8376.709285151264,210622.45141767504
512,akwa ibom,2011-09-01,8249.202340335536,208705.0362776002
513,akwa ibom,2011-10-01,7940.067909192884,200373.00361742268
514,akwa ibom,2011-11-01,7254.877385344147,170650.8595028244
515,akwa ibom,2011-12-01,6963.773406644269,89638.11257361264
516,akwa ibom,2012-01-01,6532.578065170627,148224.37637825334
517,akwa ibom,2012-02-01,6922.706596223978,167714.49548889932
518,akwa ibom,2012-03-01,7668.237535791574,188668.51430886853
519,akwa ibom,2012-04-01,8529.96464474945,218411.29214820627
520,akwa ibom,2012-05-01,9070.038034225616,236450.35770102785
521,akwa ibom,2012-06-01,9045.789040610842,226341.41712732302
522,akwa ibom,2012-07-01,8977.184559159547,234243.09115270738
523,akwa ibom,2012-08-01,8423.104251621624,214400.17804295226
524,akwa ibom,2012-09-01,8083.035697586448,205229.75702095573
525,akwa ibom,2012-10-01,7683.439239798348,190431.56031638617
526,akwa ibom,2012-11-01,7164.450890849201,170024.50159996276
527,akwa ibom,2012-12-01,6981.349262351493,92847.86606294759
528,akwa ibom,2013-01-01,7165.191693023079,178638.14228356496
529,akwa ibom,2013-02-01,7479.548561030819,200341.0127881602
530,akwa ibom,2013-03-01,8279.251295642911,230585.94033220466
531,akwa ibom,2013-04-01,9049.02764777347,256303.607898984
532,akwa ibom,2013-05-01,9747.201681681358,291067.63792618236
533,akwa ibom,2013-06-01,9577.78761525179,272532.7699908763
534,akwa ibom,2013-07-01,9620.677672314556,279875.42942053167
535,akwa ibom,2013-08-01,9003.220133812916,253417.48083543906
536,akwa ibom,2013-09-01,8362.580911563558,228734.3648900246
537,akwa ibom,2013-10-01,7684.237417130965,201378.55687266222
538,akwa ibom,2013-11-01,7405.441483393843,188429.01813681313
539,akwa ibom,2013-12-01,7356.860969874368,105447.67291051876
540,akwa ibom,2014-01-01,7770.587475496555,210919.5413708749
541,akwa ibom,2014-02-01,8049.455724054059,231355.4115967959
542,akwa ibom,2014-03-01,8686.16844628449,255260.68379404803
543,akwa ibom,2014-04-01,9561.411830922254,290949.65740094753
544,akwa ibom,2014-05-01,10284.729619227863,325886.16499365546
545,akwa ibom,2014-06-01,10082.696234733312,306261.43913251365
546,akwa ibom,2014-07-01,10107.312434165402,315948.36938096257
547,akwa ibom,2014-08-01,9570.871552424784,291127.39453300415
548,akwa ibom,2014-09-01,8825.211969172415,262618.4528083275
549,akwa ibom,2014-10-01,7984.6951252305835,229822.7367876353
550,akwa ibom,2014-11-01,7714.086453952345,213721.6329351586
551,akwa ibom,2014-12-01,7693.214607256778,118178.1981377178
552,akwa ibom,2015-01-01,8197.083688920708,235083.08667596141
553,akwa ibom,2015-02-01,8467.442780570978,253668.22702041038
554,akwa ibom,2015-03-01,9026.657550796173,270725.9055341998
555,akwa ibom,2015-04-01,10007.830325478402,309334.3660347715
556,akwa ibom,2015-05-01,10618.33582759822,338746.6977804242
557,akwa ibom,2015-06-01,10591.30124327334,338492.8455595375
558,akwa ibom,2015-07-01,10356.373748392252,327690.3324665961
559,akwa ibom,2015-08-01,10062.976988629624,318808.9084353051
560,akwa ibom,2015-09-01,9158.67201576999,277159.0545790016
561,akwa ibom,2015-10-01,8318.221260956216,250448.0380802905
562,akwa ibom,2015-11-01,7889.928453911049,229651.92623212418
563,akwa ibom,2015-12-01,7915.052060607709,133373.81324149293
564,akwa ibom,2016-01-01,8247.830087665021,244626.79094729575
565,akwa ibom,2016-02-01,8686.985059244595,269577.0380922158
566,akwa ibom,2016-03-01,9370.462788241963,295119.7424934947
